SectionID,SlotIndex,SubjectIdx,TeacherIdx,ActivityType
SEC48,18,2,4,1
SEC48,19,2,4,1
SEC48,20,2,2,1
SEC48,21,1,1,1
SEC48,22,0,0,1
SEC48,23,0,0,1
SEC48,24,0,0,1
SEC48,25,0,0,1
SEC48,26,0,0,1
SEC48,27,0,0,1
SEC48,28,0,0,1
SEC48,29,0,0,1
SEC48,30,0,0,1
SEC48,31,0,0,1
SEC48,32,0,0,1
SEC48,33,0,0,1
SEC48,34,0,0,1
SEC48,35,0,0,1
SEC48,36,0,0,1
SEC48,37,0,0,1
SEC48,38,0,0,1
SEC48,39,0,0,1
SEC48,40,0,0,1
SEC48,41,0,0,1
SEC48,42,0,0,1
SEC48,43,0,0,1
SEC48,44,0,0,1
SEC48,45,0,0,1
SEC48,46,0,0,1
SEC48,47,0,0,1
SEC48,48,0,0,1
SEC48,49,0,0,1
SEC63,0,3,8,1
SEC63,1,7,16,0
SEC63,2,9,18,0
SEC63,3,9,18,0
SEC63,4,9,18,0
SEC63,5,9,18,0
SEC63,6,9,18,0
SEC63,7,9,18,0
SEC63,8,9,18,0
SEC63,9,9,18,0
SEC63,10,9,18,0
SEC63,11,9,18,0
SEC63,12,8,17,0
SEC63,13,7,16,0
SEC63,14,6,15,0
SEC63,15,3,8,1
SEC63,16,3,8,1
SEC63,17,3,8,1
SEC63,18,2,4,1
SEC63,19,2,4,1
SEC63,20,2,2,1
SEC63,21,1,1,1
SEC63,22,0,0,1
SEC63,23,0,0,1
SEC63,24,0,0,1
SEC63,25,0,0,1
SEC63,26,0,0,1
SEC63,27,0,0,1
SEC63,28,0,0,1
SEC63,29,0,0,1
SEC63,30,0,0,1
SEC63,31,0,0,1
SEC63,32,0,0,1
SEC63,33,0,0,1
SEC63,34,0,0,1
SEC63,35,0,0,1
SEC63,36,0,0,1
SEC63,37,0,0,1
SEC63,38,0,0,1
SEC63,39,0,0,1
SEC63,40,0,0,1
SEC63,41,0,0,1
SEC63,42,0,0,1
SEC63,43,0,0,1
SEC63,44,0,0,1
SEC63,45,0,0,1
SEC63,46,0,0,1
SEC63,47,0,0,1
SEC63,48,0,0,1
SEC63,49,0,0,1
SEC70,0,3,8,1
SEC70,1,7,16,0
SEC70,2,9,18,0
SEC70,3,9,18,0
SEC70,4,9,18,0
SEC70,5,9,18,0
SEC70,6,9,18,0
SEC70,7,9,18,0
SEC70,8,9,18,0
SEC70,9,9,18,0
SEC70,10,9,18,0
SEC70,11,9,18,0
SEC70,12,8,17,0
SEC70,13,7,16,0
SEC70,14,6,15,0
SEC70,15,3,8,1
SEC70,16,3,8,1
SEC70,17,3,8,1
SEC70,18,2,4,1
SEC70,19,2,4,1
SEC70,20,2,2,1
SEC70,21,1,1,1
SEC70,22,0,0,1
SEC70,23,0,0,1
SEC70,24,0,0,1
SEC70,25,0,0,1
SEC70,26,0,0,1
SEC70,27,0,0,1
SEC70,28,0,0,1
SEC70,29,0,0,1
SEC70,30,0,0,1
SEC70,31,0,0,1
SEC70,32,0,0,1
SEC70,33,0,0,1
SEC70,34,0,0,1
SEC70,35,0,0,1
SEC70,36,0,0,1
SEC70,37,0,0,1
SEC70,38,0,0,1
SEC70,39,0,0,1
SEC70,40,0,0,1
SEC70,41,0,0,1
SEC70,42,0,0,1
SEC70,43,0,0,1
SEC70,44,0,0,1
SEC70,45,0,0,1
SEC70,46,0,0,1
SEC70,47,0,0,1
SEC70,48,0,0,1
SEC70,49,0,0,1
SEC71,0,3,8,1
SEC71,1,7,16,0
SEC71,2,9,18,0
SEC71,3,9,18,0
SEC71,4,9,18,0
SEC71,5,9,18,0
SEC71,6,9,18,0
SEC71,7,9,18,0
SEC71,8,9,18,0
SEC71,9,9,18,0
SEC71,10,9,18,0
SEC71,11,9,18,0
SEC71,12,8,17,0
SEC71,13,7,16,0
SEC71,14,6,15,0
SEC71,15,3,8,1
SEC71,16,3,8,1
SEC71,17,3,8,1
SEC71,18,2,4,1
SEC71,19,2,4,1
SEC71,20,2,2,1
SEC71,21,1,1,1
SEC71,22,0,0,1
SEC71,23,0,0,1
SEC71,24,0,0,1
SEC71,25,0,0,1
SEC71,26,0,0,1
SEC71,27,0,0,1
SEC71,28,0,0,1
SEC71,29,0,0,1
SEC71,30,0,0,1
SEC71,31,0,0,1
SEC71,32,0,0,1
SEC71,33,0,0,1
SEC71,34,0,0,1
SEC71,35,0,0,1
SEC71,36,0,0,1
SEC71,37,0,0,1
SEC71,38,0,0,1
SEC71,39,0,0,1
SEC71,40,0,0,1
SEC71,41,0,0,1
SEC71,42,0,0,1
SEC71,43,0,0,1
SEC71,44,0,0,1
SEC71,45,0,0,1
SEC71,46,0,0,1
SEC71,47,0,0,1
SEC71,48,0,0,1
SEC71,49,0,0,1
